cluster,heatwave_type,exposure,log_rr,ci_low,ci_high,display_high,common_support_high,y_min,y_max,phenotype_name,line_segment,axis_expansion_factor
1,compound,17.492625,-0.1701637761060247,-0.2546598091476812,-0.0856677430643681,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,17.7085833333333,-0.1701757523970176,-0.2553391812737133,-0.0850123235203218,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,17.9245416666667,-0.1701485640459544,-0.2559681489321602,-0.0843289791597487,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,18.1405,-0.1700828094077434,-0.2565473681250176,-0.0836182506904693,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,18.3564583333333,-0.1699790868372928,-0.2570775106250322,-0.0828806630495534,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,18.5724166666667,-0.1698379946895107,-0.2575592637310198,-0.0821167256480016,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,18.788375,-0.1696601313193053,-0.2579933300108402,-0.0813269326277704,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,19.0043333333333,-0.1694460950815849,-0.2583804270332863,-0.0805117631298836,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,19.2202916666667,-0.1691964843312574,-0.2587212870901334,-0.0796716815723815,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,19.43625,-0.1689118974232314,-0.2590166569096031,-0.0788071379368597,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,19.6522083333333,-0.1685929327124148,-0.2592672973624756,-0.077918568062354,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,19.8681666666667,-0.1682401885537157,-0.2594739831620801,-0.0770063939453514,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,20.084125,-0.1678542633020427,-0.259637502559375,-0.0760710240447104,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,20.3000833333333,-0.1674357553123036,-0.259758657034318,-0.0751128535902893,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,20.5160416666667,-0.1669852629394066,-0.2598382609847028,-0.0741322648941104,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,20.732,-0.1665033845382602,-0.2598771414136228,-0.0731296276628976,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,20.9479583333333,-0.1659907184637724,-0.2598761376166972,-0.0721052993108475,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,21.1639166666667,-0.1654478630708511,-0.2598361008701758,-0.0710596252715264,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,21.379875,-0.164875416714405,-0.2597578941210087,-0.0699929393078013,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,21.5958333333333,-0.1642739777493421,-0.2596423916799459,-0.0689055638187382,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,21.8117916666667,-0.1636441445305702,-0.2594904789187017,-0.0677978101424386,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,22.02775,-0.1629865154129981,-0.2593030519721941,-0.0666699788538021,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
