cluster,heatwave_type,exposure,log_rr,ci_low,ci_high,display_high,common_support_high,y_min,y_max,phenotype_name,axis_expansion_factor,line_segment
1,compound,1.064,-0.046110779632614,-0.0689556670971324,-0.0232658921680955,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.092,-0.0472681230032582,-0.0706851027909944,-0.023851143215522,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.12,-0.0484210950856972,-0.072407900883714,-0.0244342892876803,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.148,-0.0495695837956178,-0.0741238912275826,-0.0250152763636531,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.176,-0.0507134770487072,-0.0758329036787455,-0.025594050418669,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.204,-0.0518526627606525,-0.0775347680973338,-0.0261705574239711,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.232,-0.0529870288471405,-0.0792293143475994,-0.0267447433466817,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.26,-0.0541164632238585,-0.0809163722980529,-0.0273165541496641,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.288,-0.0552408538064933,-0.0825957718216052,-0.0278859357913815,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.316,-0.0563600885107322,-0.084267342795712,-0.0284528342257524,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.344,-0.0574740552522621,-0.0859309151025223,-0.0290171954020019,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.372,-0.05858264194677,-0.0875863186290298,-0.0295789652645102,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.4,-0.059685736509943,-0.0892333832672289,-0.0301380897526571,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.428,-0.0607832268574682,-0.0908719389142743,-0.0306945148006621,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
