"cluster","heatwave_type","activity_type","bin_left","bin_right","bar_height","total_positive_exposure_trips","display_high","common_support_high","histogram_scale"
"1","night","ride","47.80532999999998","50.321399999999976","0.0047728676511876","35618.0","50.321399999999976","6.72","share"
"1","night","run","0.0","2.5160699999999987","0.0803245550002807","35618.0","50.321399999999976","6.72","share"
"1","night","run","2.5160699999999987","5.032139999999997","0.0462125891403223","35618.0","50.321399999999976","6.72","share"
"1","night","run","5.032139999999997","7.548209999999996","0.0234712785670166","35618.0","50.321399999999976","6.72","share"
"1","night","run","7.548209999999996","10.064279999999997","0.0154416306361951","35618.0","50.321399999999976","6.72","share"
"1","night","run","10.064279999999997","12.580349999999994","0.0131955752709304","35618.0","50.321399999999976","6.72","share"
"1","night","run","12.580349999999994","15.096419999999991","0.0065697119433994","35618.0","50.321399999999976","6.72","share"
"1","night","run","15.096419999999991","17.61248999999999","0.0058678196417541","35618.0","50.321399999999976","6.72","share"
"1","night","run","17.61248999999999","20.12855999999999","0.0086473131562693","35618.0","50.321399999999976","6.72","share"
"1","night","run","20.12855999999999","22.64462999999999","0.0042113538098714","35618.0","50.321399999999976","6.72","share"
"1","night","run","22.64462999999999","25.160699999999988","0.0032848559716997","35618.0","50.321399999999976","6.72","share"
"1","night","run","25.160699999999988","27.676769999999987","0.0027233421303835","35618.0","50.321399999999976","6.72","share"
"1","night","run","27.676769999999987","30.192839999999983","0.0013757089112246","35618.0","50.321399999999976","6.72","share"
"1","night","run","30.192839999999983","32.70890999999998","0.0023864338255938","35618.0","50.321399999999976","6.72","share"
"1","night","run","32.70890999999998","35.22497999999998","0.0015722387556853","35618.0","50.321399999999976","6.72","share"
"1","night","run","35.22497999999998","37.74104999999998","0.001459935987422","35618.0","50.321399999999976","6.72","share"
"1","night","run","37.74104999999998","40.25711999999998","0.0009264978381717","35618.0","50.321399999999976","6.72","share"
"1","night","run","40.25711999999998","42.77318999999998","0.0012072547588298","35618.0","50.321399999999976","6.72","share"
"1","night","run","42.77318999999998","45.28925999999998","0.0010949519905665","35618.0","50.321399999999976","6.72","share"
