"cluster","heatwave_type","activity_type","bin_left","bin_right","bar_height","histogram_scale"
"2","compound","ride","9.140000000000006","9.74933333333334","0.0180061062095824","share"
"2","compound","ride","9.74933333333334","10.358666666666672","0.0193283169459336","share"
"2","compound","ride","10.358666666666672","10.968000000000009","0.0165156141067865","share"
"2","compound","ride","10.968000000000009","11.57733333333334","0.0099045604250306","share"
"2","compound","ride","11.57733333333334","12.186666666666676","0.0140154338053224","share"
"2","compound","ride","12.186666666666676","12.796000000000008","0.0136307906820203","share"
"2","compound","ride","12.796000000000008","13.405333333333342","0.0157944082505949","share"
"2","compound","ride","13.405333333333342","14.014666666666676","0.0086304300790922","share"
"2","compound","ride","14.014666666666676","14.62400000000001","0.0050484409933408","share"
"2","compound","run","0.0","0.6093333333333337","0.0107700074524605","share"
"2","compound","run","0.6093333333333337","1.2186666666666677","0.0181503473808207","share"
"2","compound","run","1.2186666666666677","1.8280000000000007","0.0154097651272928","share"
"2","compound","run","1.8280000000000007","2.437333333333335","0.0110344495997307","share"
"2","compound","run","2.437333333333335","3.0466666666666686","0.0137750318532586","share"
"2","compound","run","3.0466666666666686","3.6560000000000015","0.0084140683222347","share"
"2","compound","run","3.6560000000000015","4.265333333333336","0.0074284203187729","share"
"2","compound","run","4.265333333333336","4.87466666666667","0.0092314349592518","share"
"2","compound","run","4.87466666666667","5.484000000000004","0.0078371036372815","share"
"2","compound","run","5.484000000000004","6.093333333333337","0.0104094045243647","share"
"2","compound","run","6.093333333333337","6.702666666666671","0.0033175469384811","share"
"2","compound","run","6.702666666666671","7.312000000000005","0.0084140683222347","share"
"2","compound","run","7.312000000000005","7.921333333333338","0.0059138880207707","share"
"2","compound","run","7.921333333333338","8.530666666666672","0.0043993557227684","share"
"2","compound","run","8.530666666666672","9.140000000000006","0.0071399379762963","share"
"2","compound","run","9.140000000000006","9.74933333333334","0.0043512753323556","share"
"2","compound","run","9.74933333333334","10.358666666666672","0.0062023703632473","share"
"2","compound","run","10.358666666666672","10.968000000000009","0.0039185518186407","share"
"2","compound","run","10.968000000000009","11.57733333333334","0.0031011851816236","share"
"2","compound","run","11.57733333333334","12.186666666666676","0.0041349135754982","share"
"2","compound","run","12.186666666666676","12.796000000000008","0.0034858283049258","share"
"2","compound","run","12.796000000000008","13.405333333333342","0.003750270452196","share"
"2","compound","run","13.405333333333342","14.014666666666676","0.0039666322090535","share"
"2","compound","run","14.014666666666676","14.62400000000001","0.0020914969829555","share"
"2","compound","walk","0.0","0.6093333333333337","0.0025963410822895","share"
"2","compound","walk","0.6093333333333337","1.2186666666666677","0.0053850037262302","share"
"2","compound","walk","1.2186666666666677","1.8280000000000007","0.0037262302569896","share"
"2","compound","walk","1.8280000000000007","2.437333333333335","0.00312522537683","share"
"2","compound","walk","2.437333333333335","3.0466666666666686","0.0032213861576556","share"
"2","compound","walk","3.0466666666666686","3.6560000000000015","0.0020434165925427","share"
"2","compound","walk","3.6560000000000015","4.265333333333336","0.0019232156165108","share"
"2","compound","walk","4.265333333333336","4.87466666666667","0.0018991754213044","share"
"2","compound","walk","4.87466666666667","5.484000000000004","0.0020914969829555","share"
"2","compound","walk","5.484000000000004","6.093333333333337","0.0022838185446065","share"
"2","compound","walk","6.093333333333337","6.702666666666671","0.000625045075366","share"
