"cluster","heatwave_type","exposure","log_rr","ci_low","ci_high"
"2","night","48.5535","0.3974339699605746","-0.7496297318452807","1.54449767176643"
"2","night","48.8232416666667","0.40464387440467386","-0.774166865709359","1.5834546145187067"
"2","night","49.0929833333333","0.41189087204067365","-0.7997074752637136","1.623489219345061"
"2","night","49.362725","0.41917433417041194","-0.8262871968080587","1.6646358651488826"
"2","night","49.6324666666667","0.42649363209571833","-0.8539428429161314","1.706930107107568"
"2","night","49.9022083333333","0.43384813711842185","-0.8827124393531357","1.7504087135899793"
"2","night","50.17195","0.4412372205403604","-0.912635262976511","1.7951097040572317"
"2","night","50.4416916666667","0.44866025366336315","-0.9437518806345976","1.841072387961324"
"2","night","50.7114333333333","0.45611660778925955","-0.9761041890775195","1.8883374046560386"
"2","night","50.981175","0.4636056542198876","-1.0097354558937233","1.9369467643334985"
"2","night","51.2509166666666","0.47112676425707334","-1.0446903614848744","1.986943889999021"
"2","night","51.5206583333333","0.47867930920265483","-1.0810150420915463","2.038373660496856"
"2","night","51.7904","0.4862626603584612","-1.1187571338805617","2.091282454597484"
"2","night","52.0601416666667","0.49387618902632513","-1.157965818104726","2.1457181961573766"
"2","night","52.3298833333333","0.5015192665080752","-1.1986918673440654","2.2017304003602156"
"2","night","52.599625","0.5091912641055497","-1.2409876928370651","2.2593702210481643"
"2","night","52.8693666666667","0.5168915531205777","-1.2849073929087687","2.318690499149924"
"2","night","53.1391083333333","0.5246195048549885","-1.3305068025018802","2.379745812211857"
"2","night","53.40885","0.5323744906106203","-1.3778435438151933","2.4425925250364338"
"2","night","53.6785916666667","0.5401558816893018","-1.4269770780522006","2.5072888414308045"
"2","night","53.9483333333333","0.547963049392863","-1.4779687582815568","2.5738948570672826"
"2","night","54.218075","0.5557953650231411","-1.530881883408919","2.642472613455201"
"2","night","54.4878166666667","0.5636521998819658","-1.5857817532578555","2.7130861530217874"
"2","night","54.7575583333333","0.571532925271166","-1.6427357247559815","2.785801575298313"
"2","night","55.0273","0.5794369124925798","-1.7018132692200048","2.860687094205164"
"2","night","55.2650000000001","0.5864207934704607","-1.7556903569101965","2.928531943851118"
"2","night","55.2970416666667","0.5873635328480367","-1.763086030730952","2.9378130964270253"
"2","night","55.5667833333333","0.5953121576393655","-1.8266278855891436","3.0172522008678744"
"2","night","55.836525","0.6032821581684046","-1.8925150028353825","3.099079319172192"
"2","night","56.1062666666667","0.6112729057369828","-1.9608259058220474","3.183371717296013"
"2","night","56.3760083333333","0.6192837716469297","-2.031641534815625","3.2702090781094846"
"2","night","56.64575","0.627314127200083","-2.1050453106085794","3.3596735650087455"
"2","night","56.9154916666667","0.6353633436982722","-2.181123199115219","3.451849886511763"
